,precision,recall,f1-score,support
World,0.9386767079074771,0.9184210526315789,0.928438414471934,1900.0
Sports,0.966890843248836,0.9836842105263158,0.9752152361074876,1900.0
Business,0.9021164021164021,0.8973684210526316,0.899736147757256,1900.0
Sci/Tech,0.9009384775808134,0.9094736842105263,0.9051859612362494,1900.0
accuracy,0.9272368421052631,0.9272368421052631,0.9272368421052631,0.9272368421052631
macro avg,0.927155607713382,0.9272368421052631,0.9271439398932317,7600.0
weighted avg,0.9271556077133822,0.9272368421052631,0.9271439398932316,7600.0
