,precision,recall,f1-score,support
World,0.9321486268174475,0.9110526315789473,0.9214799041788662,1900.0
Sports,0.9584828293182983,0.9842105263157894,0.9711763178395222,1900.0
Business,0.9012875536480687,0.8842105263157894,0.8926673751328374,1900.0
Sci/Tech,0.8962655601659751,0.9094736842105263,0.9028213166144201,1900.0
accuracy,0.9222368421052631,0.9222368421052631,0.9222368421052631,0.9222368421052631
macro avg,0.9220461424874474,0.9222368421052631,0.9220362284414114,7600.0
weighted avg,0.9220461424874474,0.9222368421052631,0.9220362284414115,7600.0
