,precision,recall,f1-score,support
World,0.9692390717754992,0.9452631578947368,0.9571009858779643,1900.0
Sports,0.9848563968668407,0.9926315789473684,0.9887287024901704,1900.0
Business,0.9347471451876019,0.9047368421052632,0.9194971917625033,1900.0
Sci/Tech,0.904666332162569,0.9489473684210527,0.9262779347546879,1900.0
accuracy,0.9478947368421052,0.9478947368421052,0.9478947368421052,0.9478947368421052
macro avg,0.9483772364981278,0.9478947368421052,0.9479012037213315,7600.0
weighted avg,0.9483772364981276,0.9478947368421052,0.9479012037213315,7600.0
